service_id,date,exception_type
1,20260509,1
1,20260510,1
1,20260516,1
1,20260517,1
2,20260528,1
2,20260602,1
2,20260612,1
2,20260710,1
2,20260720,1
2,20260721,1
2,20260723,1
2,20260727,1
2,20260729,1
2,20260813,1
2,20260814,1
2,20260820,1
2,20260828,1
2,20260902,1
2,20260911,1
2,20260916,1
2,20260925,1
3,20260528,1
3,20260602,1
3,20260612,1
3,20260620,1
3,20260627,1
3,20260710,1
3,20260711,1
3,20260720,1
3,20260721,1
3,20260723,1
3,20260725,1
3,20260726,1
3,20260727,1
3,20260729,1
3,20260808,1
3,20260813,1
3,20260814,1
3,20260820,1
3,20260828,1
3,20260829,1
3,20260902,1
3,20260911,1
3,20260913,1
3,20260916,1
3,20260919,1
3,20260925,1
3,20260927,1
