service_id,date,exception_type
1,20170825,1
1,20170826,1
2,20170902,1
2,20170903,1
2,20170908,1
2,20170909,1
2,20170915,1
2,20170916,1
2,20170922,1
2,20170923,1
2,20170929,1
2,20170930,1
2,20171006,1
2,20171007,1
2,20171013,1
2,20171014,1
2,20171020,1
2,20171021,1
2,20171027,1
2,20171028,1
2,20171103,1
2,20171104,1
2,20171110,1
2,20171111,1
2,20171117,1
3,20170826,1
3,20170827,1
4,20170902,1
4,20170903,1
4,20170904,1
4,20170909,1
4,20170910,1
4,20170916,1
4,20170917,1
4,20170923,1
4,20170924,1
4,20170930,1
4,20171001,1
4,20171007,1
4,20171008,1
4,20171014,1
4,20171015,1
4,20171021,1
4,20171022,1
4,20171028,1
4,20171029,1
4,20171104,1
4,20171105,1
4,20171111,1
4,20171112,1
4,20171118,1
5,20170821,1
5,20170822,1
5,20170823,1
5,20170824,1
5,20170827,1
5,20170828,1
5,20170829,1
5,20170830,1
5,20170831,1
6,20170904,1
6,20170905,1
6,20170906,1
6,20170907,1
6,20170910,1
6,20170911,1
6,20170912,1
6,20170913,1
6,20170914,1
6,20170917,1
6,20170918,1
6,20170919,1
6,20170920,1
6,20170921,1
6,20170924,1
6,20170925,1
6,20170926,1
6,20170927,1
6,20170928,1
6,20171001,1
6,20171002,1
6,20171003,1
6,20171004,1
6,20171005,1
6,20171008,1
6,20171009,1
6,20171010,1
6,20171011,1
6,20171012,1
6,20171015,1
6,20171016,1
6,20171017,1
6,20171018,1
6,20171019,1
6,20171022,1
6,20171023,1
6,20171024,1
6,20171025,1
6,20171026,1
6,20171029,1
6,20171030,1
6,20171031,1
6,20171101,1
6,20171102,1
6,20171105,1
6,20171106,1
6,20171107,1
6,20171108,1
6,20171109,1
6,20171112,1
6,20171113,1
6,20171114,1
6,20171115,1
6,20171116,1
7,20170821,1
7,20170822,1
7,20170823,1
7,20170824,1
7,20170825,1
7,20170828,1
7,20170829,1
7,20170830,1
7,20170831,1
7,20170901,1
8,20170905,1
8,20170906,1
8,20170907,1
8,20170908,1
8,20170911,1
8,20170912,1
8,20170913,1
8,20170914,1
8,20170915,1
8,20170918,1
8,20170919,1
8,20170920,1
8,20170921,1
8,20170922,1
8,20170925,1
8,20170926,1
8,20170927,1
8,20170928,1
8,20170929,1
8,20171002,1
8,20171003,1
8,20171004,1
8,20171005,1
8,20171006,1
8,20171009,1
8,20171010,1
8,20171011,1
8,20171012,1
8,20171013,1
8,20171016,1
8,20171017,1
8,20171018,1
8,20171019,1
8,20171020,1
8,20171023,1
8,20171024,1
8,20171025,1
8,20171026,1
8,20171027,1
8,20171030,1
8,20171031,1
8,20171101,1
8,20171102,1
8,20171103,1
8,20171106,1
8,20171107,1
8,20171108,1
8,20171109,1
8,20171110,1
8,20171113,1
8,20171114,1
8,20171115,1
8,20171116,1
8,20171117,1
9,20170823,1
10,20170821,1
10,20170822,1
10,20170823,1
10,20170824,1
10,20170825,1
10,20170828,1
10,20170829,1
10,20170830,1
10,20170831,1
11,20170902,1
11,20170903,1
11,20170904,1
11,20170909,1
11,20170910,1
11,20170916,1
11,20170917,1
11,20170923,1
11,20170924,1
11,20170930,1
11,20171001,1
11,20171007,1
11,20171008,1
11,20171014,1
11,20171015,1
11,20171021,1
11,20171022,1
11,20171028,1
11,20171029,1
11,20171104,1
11,20171105,1
11,20171111,1
11,20171112,1
12,20170826,1
12,20170902,1
12,20170904,1
12,20170909,1
12,20170916,1
12,20170923,1
12,20170930,1
12,20171007,1
12,20171014,1
12,20171021,1
12,20171028,1
12,20171104,1
12,20171111,1
12,20171118,1
12,20171125,1
12,20171202,1
12,20171209,1
12,20171216,1
12,20171223,1
12,20171230,1
12,20180106,1
12,20180113,1
12,20180120,1
12,20180127,1
12,20180203,1
12,20180210,1
13,20170827,1
13,20170903,1
13,20170910,1
13,20170917,1
13,20170924,1
13,20171001,1
13,20171008,1
13,20171015,1
13,20171022,1
13,20171029,1
13,20171105,1
13,20171112,1
13,20171119,1
13,20171126,1
13,20171203,1
13,20171210,1
13,20171217,1
13,20171224,1
13,20171231,1
13,20180107,1
13,20180114,1
13,20180121,1
13,20180128,1
13,20180204,1
13,20180211,1
14,20170821,1
14,20170822,1
14,20170823,1
14,20170824,1
14,20170825,1
14,20170828,1
14,20170829,1
14,20170830,1
14,20170831,1
14,20170901,1
14,20170905,1
14,20170906,1
14,20170907,1
14,20170908,1
14,20170911,1
14,20170912,1
14,20170913,1
14,20170914,1
14,20170915,1
14,20170918,1
14,20170919,1
14,20170920,1
14,20170921,1
14,20170922,1
14,20170925,1
14,20170926,1
14,20170927,1
14,20170928,1
14,20170929,1
14,20171002,1
14,20171003,1
14,20171004,1
14,20171005,1
14,20171006,1
14,20171009,1
14,20171010,1
14,20171011,1
14,20171012,1
14,20171013,1
14,20171016,1
14,20171017,1
14,20171018,1
14,20171019,1
14,20171020,1
14,20171023,1
14,20171024,1
14,20171025,1
14,20171026,1
14,20171027,1
14,20171030,1
14,20171031,1
14,20171101,1
14,20171102,1
14,20171103,1
14,20171106,1
14,20171107,1
14,20171108,1
14,20171109,1
14,20171110,1
14,20171113,1
14,20171114,1
14,20171115,1
14,20171116,1
14,20171117,1
14,20171120,1
14,20171121,1
14,20171122,1
14,20171123,1
14,20171124,1
14,20171127,1
14,20171128,1
14,20171129,1
14,20171130,1
14,20171201,1
14,20171204,1
14,20171205,1
14,20171206,1
14,20171207,1
14,20171208,1
14,20171211,1
14,20171212,1
14,20171213,1
14,20171214,1
14,20171215,1
14,20171218,1
14,20171219,1
14,20171220,1
14,20171221,1
14,20171222,1
14,20171225,1
14,20171226,1
14,20171227,1
14,20171228,1
14,20171229,1
14,20180101,1
14,20180102,1
14,20180103,1
14,20180104,1
14,20180105,1
14,20180108,1
14,20180109,1
14,20180110,1
14,20180111,1
14,20180112,1
14,20180115,1
14,20180116,1
14,20180117,1
14,20180118,1
14,20180119,1
14,20180122,1
14,20180123,1
14,20180124,1
14,20180125,1
14,20180126,1
14,20180129,1
14,20180130,1
14,20180131,1
14,20180201,1
14,20180202,1
14,20180205,1
14,20180206,1
14,20180207,1
14,20180208,1
14,20180209,1
14,20180212,1
14,20180213,1
14,20180214,1
14,20180215,1
14,20180216,1
15,20170904,1
16,20170901,1
17,20171112,1
18,20171112,1
18,20171118,1
19,20170826,1
19,20170827,1
19,20170902,1
19,20170903,1
19,20170904,1
19,20170909,1
19,20170910,1
19,20170916,1
19,20170917,1
19,20170923,1
19,20170924,1
19,20170930,1
19,20171001,1
19,20171007,1
19,20171008,1
19,20171014,1
19,20171015,1
19,20171021,1
19,20171022,1
19,20171028,1
19,20171029,1
19,20171104,1
19,20171105,1
19,20171111,1
20,20170825,1
20,20170901,1
21,20170821,1
21,20170822,1
21,20170823,1
21,20170824,1
21,20170828,1
21,20170829,1
21,20170830,1
21,20170831,1
22,20170905,1
22,20170906,1
22,20170907,1
22,20170911,1
22,20170912,1
22,20170913,1
22,20170914,1
22,20170918,1
22,20170919,1
22,20170920,1
22,20170921,1
22,20170925,1
22,20170926,1
22,20170927,1
22,20170928,1
22,20171002,1
22,20171003,1
22,20171004,1
22,20171005,1
22,20171009,1
22,20171010,1
22,20171011,1
22,20171012,1
22,20171016,1
22,20171017,1
22,20171018,1
22,20171019,1
22,20171023,1
22,20171024,1
22,20171025,1
22,20171026,1
22,20171030,1
22,20171031,1
22,20171101,1
22,20171102,1
22,20171106,1
22,20171107,1
22,20171108,1
22,20171109,1
22,20171113,1
22,20171114,1
22,20171115,1
22,20171116,1
23,20170908,1
23,20170915,1
23,20170922,1
23,20170929,1
23,20171006,1
23,20171013,1
23,20171020,1
23,20171027,1
23,20171103,1
23,20171110,1
23,20171117,1
24,20170822,1
24,20170823,1
24,20170824,1
24,20170825,1
24,20170829,1
24,20170830,1
24,20170831,1
24,20170901,1
25,20170821,1
25,20170828,1
26,20170905,1
26,20170911,1
26,20170918,1
26,20170925,1
26,20171002,1
26,20171009,1
26,20171016,1
26,20171023,1
26,20171030,1
26,20171106,1
26,20171113,1
27,20170906,1
27,20170907,1
27,20170908,1
27,20170912,1
27,20170913,1
27,20170914,1
27,20170915,1
27,20170919,1
27,20170920,1
27,20170921,1
27,20170922,1
27,20170926,1
27,20170927,1
27,20170928,1
27,20170929,1
27,20171003,1
27,20171004,1
27,20171005,1
27,20171006,1
27,20171010,1
27,20171011,1
27,20171012,1
27,20171013,1
27,20171017,1
27,20171018,1
27,20171019,1
27,20171020,1
27,20171024,1
27,20171025,1
27,20171026,1
27,20171027,1
27,20171031,1
27,20171101,1
27,20171102,1
27,20171103,1
27,20171107,1
27,20171108,1
27,20171109,1
27,20171110,1
27,20171114,1
27,20171115,1
27,20171116,1
27,20171117,1
28,20170902,1
28,20170903,1
28,20170904,1
28,20170909,1
28,20170910,1
29,20170825,1
30,20170821,1
30,20170822,1
30,20170823,1
30,20170824,1
30,20170828,1
30,20170829,1
30,20170830,1
30,20170831,1
30,20170901,1
31,20170916,1
31,20170917,1
31,20170923,1
31,20170924,1
31,20170930,1
31,20171001,1
31,20171007,1
31,20171008,1
31,20171014,1
31,20171015,1
31,20171021,1
31,20171022,1
31,20171028,1
31,20171029,1
31,20171104,1
31,20171105,1
31,20171111,1
31,20171112,1
31,20171118,1
32,20170905,1
32,20170906,1
32,20170907,1
32,20170908,1
33,20170902,1
33,20170903,1
33,20170904,1
33,20170909,1
34,20170905,1
34,20170906,1
34,20170907,1
34,20170908,1
34,20170911,1
34,20170912,1
34,20170913,1
34,20170914,1
34,20170915,1
34,20170918,1
34,20170919,1
34,20170920,1
34,20170921,1
34,20170922,1
34,20170925,1
34,20170926,1
34,20170927,1
34,20170928,1
34,20170929,1
34,20171002,1
34,20171003,1
34,20171004,1
34,20171005,1
34,20171006,1
34,20171009,1
34,20171010,1
34,20171011,1
34,20171012,1
34,20171013,1
34,20171016,1
34,20171017,1
34,20171018,1
34,20171019,1
34,20171020,1
34,20171023,1
34,20171024,1
34,20171025,1
34,20171026,1
34,20171027,1
34,20171030,1
34,20171031,1
34,20171101,1
34,20171102,1
34,20171103,1
34,20171106,1
34,20171107,1
34,20171108,1
34,20171109,1
34,20171110,1
34,20171113,1
34,20171114,1
34,20171115,1
34,20171116,1
34,20171117,1
34,20171120,1
34,20171121,1
34,20171122,1
34,20171123,1
34,20171124,1
34,20171127,1
34,20171128,1
34,20171129,1
34,20171130,1
34,20171201,1
34,20171204,1
34,20171205,1
34,20171206,1
34,20171207,1
34,20171208,1
34,20171211,1
34,20171212,1
34,20171213,1
34,20171214,1
34,20171215,1
34,20171218,1
34,20171219,1
34,20171220,1
34,20171221,1
34,20171222,1
34,20171225,1
34,20171226,1
34,20171227,1
34,20171228,1
34,20171229,1
34,20180101,1
34,20180102,1
34,20180103,1
34,20180104,1
34,20180105,1
34,20180108,1
34,20180109,1
34,20180110,1
34,20180111,1
34,20180112,1
34,20180115,1
34,20180116,1
34,20180117,1
34,20180118,1
34,20180119,1
34,20180122,1
34,20180123,1
34,20180124,1
34,20180125,1
34,20180126,1
34,20180129,1
34,20180130,1
34,20180131,1
34,20180201,1
34,20180202,1
34,20180205,1
34,20180206,1
34,20180207,1
34,20180208,1
34,20180209,1
34,20180212,1
34,20180213,1
34,20180214,1
34,20180215,1
34,20180216,1
35,20170825,1
35,20170826,1
35,20170827,1
36,20170902,1
36,20170903,1
36,20170904,1
36,20170908,1
36,20170909,1
36,20170910,1
36,20170915,1
36,20170916,1
36,20170917,1
36,20170922,1
36,20170923,1
36,20170924,1
36,20170929,1
36,20170930,1
36,20171001,1
36,20171006,1
36,20171007,1
36,20171008,1
36,20171013,1
36,20171014,1
36,20171015,1
36,20171020,1
36,20171021,1
36,20171022,1
36,20171027,1
36,20171028,1
36,20171029,1
36,20171103,1
36,20171104,1
36,20171105,1
36,20171110,1
36,20171111,1
36,20171112,1
36,20171117,1
37,20170905,1
37,20170906,1
37,20170907,1
37,20170911,1
37,20170912,1
37,20170913,1
37,20170914,1
37,20170918,1
37,20170919,1
37,20170921,1
37,20170925,1
37,20170926,1
37,20170927,1
37,20170928,1
37,20171002,1
37,20171003,1
37,20171004,1
37,20171005,1
37,20171009,1
37,20171010,1
37,20171011,1
37,20171012,1
37,20171016,1
37,20171017,1
37,20171018,1
37,20171019,1
37,20171023,1
37,20171024,1
37,20171025,1
37,20171026,1
37,20171030,1
37,20171031,1
37,20171101,1
37,20171102,1
37,20171106,1
37,20171107,1
37,20171108,1
37,20171109,1
37,20171113,1
37,20171114,1
37,20171115,1
37,20171116,1
38,20170908,1
38,20170915,1
38,20170920,1
38,20170922,1
38,20170929,1
38,20171006,1
38,20171013,1
38,20171020,1
38,20171027,1
38,20171103,1
38,20171110,1
38,20171117,1
39,20170821,1
39,20170822,1
39,20170823,1
39,20170824,1
39,20170825,1
39,20170828,1
39,20170829,1
39,20170830,1
39,20170831,1
39,20170901,1
39,20170905,1
39,20170906,1
39,20170907,1
39,20170908,1
39,20170911,1
39,20170912,1
39,20170913,1
39,20170914,1
39,20170915,1
39,20170918,1
39,20170919,1
39,20170920,1
39,20170921,1
39,20170922,1
39,20170925,1
39,20170926,1
39,20170927,1
39,20170928,1
39,20170929,1
39,20171002,1
39,20171003,1
39,20171004,1
39,20171005,1
39,20171006,1
39,20171009,1
39,20171010,1
39,20171011,1
39,20171012,1
39,20171013,1
39,20171016,1
39,20171017,1
39,20171018,1
39,20171019,1
39,20171020,1
39,20171023,1
39,20171024,1
39,20171025,1
39,20171026,1
39,20171027,1
39,20171030,1
39,20171031,1
39,20171101,1
39,20171102,1
39,20171103,1
39,20171106,1
39,20171107,1
39,20171108,1
39,20171109,1
39,20171110,1
39,20171113,1
39,20171114,1
39,20171115,1
39,20171116,1
39,20171117,1
39,20171120,1
39,20171121,1
39,20171122,1
39,20171124,1
39,20171127,1
39,20171128,1
39,20171129,1
39,20171130,1
39,20171204,1
39,20171205,1
39,20171206,1
39,20171207,1
39,20171208,1
39,20171211,1
39,20171212,1
39,20171213,1
39,20171214,1
39,20171215,1
39,20171218,1
39,20171219,1
39,20171220,1
39,20171221,1
39,20171222,1
39,20171226,1
39,20171227,1
39,20171228,1
39,20171229,1
39,20180102,1
39,20180103,1
39,20180104,1
39,20180105,1
39,20180108,1
39,20180109,1
39,20180110,1
39,20180111,1
39,20180112,1
39,20180116,1
39,20180117,1
39,20180118,1
39,20180119,1
39,20180122,1
39,20180123,1
39,20180124,1
39,20180125,1
39,20180126,1
39,20180129,1
39,20180130,1
39,20180131,1
39,20180201,1
39,20180202,1
39,20180205,1
39,20180206,1
39,20180207,1
39,20180208,1
39,20180209,1
39,20180212,1
39,20180213,1
39,20180214,1
39,20180215,1
39,20180216,1
40,20170826,1
40,20170902,1
40,20170909,1
40,20170916,1
40,20170923,1
40,20170930,1
40,20171007,1
40,20171014,1
40,20171021,1
40,20171028,1
40,20171104,1
40,20171111,1
40,20171118,1
40,20171125,1
40,20171202,1
40,20171209,1
40,20171216,1
40,20171223,1
40,20171230,1
40,20180106,1
40,20180113,1
40,20180120,1
40,20180127,1
40,20180203,1
40,20180210,1
41,20170827,1
41,20170903,1
41,20170904,1
41,20170910,1
41,20170917,1
41,20170924,1
41,20171001,1
41,20171008,1
41,20171015,1
41,20171022,1
41,20171029,1
41,20171105,1
41,20171112,1
41,20171119,1
41,20171126,1
41,20171203,1
41,20171210,1
41,20171217,1
41,20171224,1
41,20171231,1
41,20180107,1
41,20180114,1
41,20180121,1
41,20180128,1
41,20180204,1
41,20180211,1
42,20170831,1
43,20170826,1
